text,video_url,start_time_seconds,speaker
因為得了流感 這個已經好幾天不能說話了 嗓子依然還不太好 而且這個這個天氣比較潮溼 別把生命這個委託給隆波 隆波也必然會老 必然會病 必然同樣會死 必須要能夠靠自己 起點 這個是要這個好好地持五戒 戒如果壞了話 修行是進步不了的 禪定會立馬壞掉 要用心持守這個戒 五條就夠了 修行如果沒有戒 那是無法真的做到 做的 要訓練這種習慣 習慣性地要修行 每一次 這個有機會,https://www.youtube.com/watch?v=NcISDw5rzac,6.56,老师
都要有覺性去覺知自己的身 覺知自己的心 居士 非常多的居士 這個包括出家人在內 修行了之後進步特別地慢 或者根本不進步 因為這個修了之後就停 修了之後又停 修了之後又停 遇到高僧大德就會很勤奮地用功 一旦這個背著 這個高僧大德就會很懶得去修行了 在 有機會修行的時候 就會白白地浪費 比如在坐在這個禪堂的時候 坐著了之後心走神 想東想西不停地想來想去的 我們就白白地浪費時間了 在我們吃飯的時候,https://www.youtube.com/watch?v=NcISDw5rzac,93.04,老师
我們的心喜歡這個菜 喜歡這一口 喜歡那口不喜歡 每一口食物 我們的感覺都不同 我們吃飯然後一邊聊天 根本不知道 就會迷失 迷失在 念頭的世界 不停地找事情來閒聊 我們沒有看到 這個舌頭嚐到味道 每一口 我們的感覺都不一樣 坐車 開車 這個堵車了心很煩 心很煩就生氣了 就會那個時候 白白地受苦而已 但是如果我們看到堵車了心鬱悶 知道說鬱悶 這個我們在修行 修行不難 難的僅僅只是不修行的人,https://www.youtube.com/watch?v=NcISDw5rzac,156.04,老师
而且誤解了 說修行啊 一開始 在這個打坐經行的時候 那麼去想的話 要想提升的概率就特別少了 因為一整天都是迷失的 因此必須要把修行啊 能夠跟真實的生活中這個 結合起來 如果這一點做不到的話那不可能的 那不可能證悟什麼道果的 阿姜曼尊者他教導 隆波並沒有趕上他的時代 隆波是從 這個隆普蘇瓦長老那裡聽過來的 隆普蘇瓦長老跟阿姜曼尊者學過法 阿姜曼尊者開示說 修習禪定太多就會很緩慢 思維分析地太多就會散亂 修行最重要的這個核心在於 在日常生活中有覺性,https://www.youtube.com/watch?v=NcISDw5rzac,225.44,老师
如果這一點做不到 這個概率就很少可以突破了 僅僅只是在坐在禪堂 打坐的時候很厲害 那根本是不懂事 其它剩下的時間全部都煩惱 被煩惱習氣吞沒了 為什麼煩惱習氣可以吞沒它 是因為我們心甘情願 自己心甘情願地投入在想 如果我們試著很心意堅決 只要有空 就去有覺性去讀自己 能夠讀心就去讀 讀心讀不了 那就去感覺身體 放任讓心迷失去想東想西那個是很無聊的事情 迷失 隆波跟隆普敦長老學法 就來觀自己的心 不停地去觀 什麼時候有空 就什麼時候去觀,https://www.youtube.com/watch?v=NcISDw5rzac,294.0,老师
從一起床就開始觀了 一醒來 心接觸到念頭的一瞬間 啊今天是星期一 必須要著急去上班 曼谷以前的星期一這個堵得很厲害的 就必須要很著急 害怕這個上班來不及 看到心擔心 害怕這個上班 趕不上 要洗澡 要排洩 要做什麼 這個不停地去讀自己的感覺 有出家人 有個高僧大德的一位侍者曾經問過隆波 那個時候隆波並沒有出家 就問說居士你怎麼能夠修行的 居士修行一年了 這個比出家人修10年20年進步得更大 隆波就說,https://www.youtube.com/watch?v=NcISDw5rzac,377.48,老师
隆波是一整天修行 一整天修行 並不是說不去賺錢不工作 在我們賺錢工作的時候 我們必須要用到思維分析的工作的時候 必須要去盡職責 去盡自己世間的職責 但是其它剩下的時間 全都是修行的時間 以前隆波在這個國務院工作 必須要這個 這個要跟很多部門這個交往 要這個安排很多的會議 然後很多的訊息要這個總結 這個大部分時間都是用於開會的 這個很多方面的 這個資訊資料要做研究做評估 比如我們要安排會議 還沒有到時間 這個會議的時間 這個成員還沒有到齊,https://www.youtube.com/watch?v=NcISDw5rzac,437.84,老师
大部分人做的事情就是坐著閒聊 坐著喝咖啡 等 那就把時間白白地浪費掉揮霍掉 有時候等10分鐘等20分鐘 隆波並沒有會把時間白白地扔掉 然後自己跟別人一樣也在喝咖啡 坐著喝咖啡 但是 不停地去讀自己的感覺 坐著等 心就很掙扎 所以今天啊 這個部門它是派誰來參會的 如果這個人來的話那就非常棒了 結果呢 那個自己想讓他來的真的來了 就只是這樣就自己很高興的 就會看到自己 這個或者是坐著正在很掙扎,https://www.youtube.com/watch?v=NcISDw5rzac,499.6,老师
在很掙扎的時候就會看到心的動盪不安 在看到心這個動盪不安 這個很掙扎說 究竟會誰來呢 在那個看的時候就是在修行了 而不是就只是這個閒坐著 而是坐著不停地去讀自己的感覺 一旦看到這個人臉 這個人來開 參會了 看了很討厭 有的人 這個 職位很高 說的時候說 所有人必須聽 但是特別蠢啊 只能夠用這個詞了 來了之後就說說說 要花很多時間說 但是根本沒有任何意義 沒有任何實質 資料也沒有 幾乎這個就是白白地在說 這個他沒有任何的資訊 這個好的這個解決問題的這個方向也沒有,https://www.youtube.com/watch?v=NcISDw5rzac,562.4,老师
一來就會說啊 哎呀這個事情問題多 這個問題 那個問題 這個問題 如果僅僅只是厲害於去找問題 這個稱之為不會工作 必須要很精通於 要怎麼去能夠回答 去解決 怎麼解決問題這樣才行呢 對嗎 這個比如像我們看到這個人臉了很煩 知道說很煩 這個修行了 而不是煩了之後不修行 坐著聽他說 眼睛也會看 睜開眼睛看 但是心並沒有聽 知道根本沒有任何內容 看到別人這個笑 自己也在笑 別人點頭 自己也禮貌性地點點頭 但是自己的心就在裡面在修行 那誰知道呢 久久地就會讓心出來聽一下,https://www.youtube.com/watch?v=NcISDw5rzac,619.24,老师
哎講到哪裡了啊 依然還在原來的地方繞呢 哎繼續回來進來修行 這個是在這個會議室的時候 依然在修行 因此比如像 隆波看到我們有時候走 走在這個 這個戒堂門口 大家的心這個很陶醉有快樂 那個不行 走在這個戒堂的門口 比如說有些天 天氣很好 很舒服 很舒適 心有快樂 必須知道有快樂 去讀不停地去讀自己的感覺 那個就是在真實的 真實生活中在修行 修行 真實的日常生活中修行是很難的 因為我們用的是這個六個根門,https://www.youtube.com/watch?v=NcISDw5rzac,689.57,老师
我們睜開眼睛對嗎 就會看這看那 我們聽到這個那個聲音 聞到氣味 嚐到味道 感知身體方面的接觸 心就會去想 這個心啊 接觸 這個在六個根門 不停地這個換位置 我們要去守著說 僅僅只是 換眼睛看畫面那個就有點過了 因為聽一點聲音又會去 這個看一點畫面去聽聲音了 然後緊接著就看出 現在心去聽聲音了 那太快了 那個要想做得到那個太快了 試著調整一丁點 接下來眼睛看到畫面 在心裡面 自己的心裡面產生了變化 看到漂亮的花心喜歡 知道喜歡 只是就只是去覺知這個單一的心 聽到這個,https://www.youtube.com/watch?v=NcISDw5rzac,760.24,老师
這個鳥叫聲 鳥叫聲音很好聽 心有快樂 知道說有快樂 這個就是修行 眼耳鼻舌身意接觸境界 很自然正常地去接觸境界 但是接觸了之後呢 這個這個 生起了這個變化的感覺 要有覺性去知道 這個是訣竅 這個是在日常生活中 這個培養覺性 日常生活中修行的訣竅在這裡 也就是要去讀自己的心 並不取決於強迫打壓自己 不讓它去看 不讓它去聽 不讓它去聞氣味 不讓它去嚐味道 不需要逃避 去自然正常地去接觸 一旦接觸了之後我們的心有變化 生起了快樂知道 生起苦知道,https://www.youtube.com/watch?v=NcISDw5rzac,816.04,老师
生起善不善要知道 不久智慧就會生起 所有的 我們日常生活中所有的一切 全部都是生了就滅 就會這麼照見 心如果明白這一點 心就會苦很少地活在世間 苦就會大量地減少 不停地修行下去 不再執著 不再抓取 不執著身體 就不會因為身體而苦 不執著心 就不會因為心而苦 它不執著是因為看到三法印 一而再而三地去重複看到三法印 看到更深一層 直到看到這個四聖諦 知道說有想要 必然會有苦 不再有想要就不再有苦 就會這個自知 好了今天講法就講到這裡,https://www.youtube.com/watch?v=NcISDw5rzac,869.6,老师
