text,video_url,start_time_seconds,speaker
อมาแล้วเ้าสวัสดี Hello ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,8.68,Ajahn
 everyone เหลือตรวจการบ้านอีก There  5 ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,17.48,Ajahn
คน Five อ้าตรวจการบ้าน homework  left ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,21.36,Ajahn
 start  with  the  homework อ่ะเชิญคน,https://www.youtube.com/watch?v=ZFH3h7FxqIE,24.68,Ajahn
ที่ต้องส่ง,https://www.youtube.com/watch?v=ZFH3h7FxqIE,29.12,Ajahn
 4  gir ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,35.64,Ajahn
 pod2  Because  vo ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,42.64,Ajahn
 nak ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,46.44,Ajahn
 med ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,47.96,Ajahn
 U  respect ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,57.56,Ajahn
 I  have  learned  from หลวงพ่อ for  Two ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,62.44,Ajahn
 Years  And  inly  I  use  the  Breath ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,66.16,Ajahn
 Meditation  and  Walk  Meditation ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,70.16,Ajahn
 during  The  Day  i  Watch  Body  I ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,73.32,Ajahn
 let  it  W  Off  and  be ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,77.08,Ajahn
 aware  What  is  my  current  Practice ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,80.08,Ajahn
 correct  this  progress  in ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,83.04,Ajahn
 Wisdom เหมาะอยู่นะ F มาขึ้นกว่าสมัย,https://www.youtube.com/watch?v=ZFH3h7FxqIE,86.36,Ajahn
ก่อนขันก็เริ่ม,https://www.youtube.com/watch?v=ZFH3h7FxqIE,94.16,Ajahn
แยก separate  Out ขันแยกแล้วฟัง,https://www.youtube.com/watch?v=ZFH3h7FxqIE,97.0,Ajahn
 aggregate  separate  do  you  see เรา,https://www.youtube.com/watch?v=ZFH3h7FxqIE,100.88,Ajahn
แยกได้อยู่แล้ว can  separate  them ร่าง,https://www.youtube.com/watch?v=ZFH3h7FxqIE,103.28,Ajahn
กายจใจ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,105.76,Ajahn
เวทนากันรู้สึกสุข,https://www.youtube.com/watch?v=ZFH3h7FxqIE,108.28,Ajahn
ทุกข์ก็,https://www.youtube.com/watch?v=ZFH3h7FxqIE,112.92,Ajahn
เป็นคนละส่วนกเราแยกได้แยกได้ม,https://www.youtube.com/watch?v=ZFH3h7FxqIE,115.08,Ajahn
ดอ You  can แต่นี้ก็มีหน้าที่ dy  iserve ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,122.64,Ajahn
 aggregate  Let  operate  them ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,128.88,Ajahn
 work เร่เร่มได้ have  automatic ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,132.24,Ajahn
 mindfulness  and  then  You  can  Also ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,137.4,Ajahn
 see  the  phenomena  aggregate ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,139.6,Ajahn
 separate ขันทำงาน,https://www.youtube.com/watch?v=ZFH3h7FxqIE,143.96,Ajahn
 AG ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,151.92,Ajahn
 Inter ดีก็ได้ช่ Good  B ก็ได้ก็ได้,https://www.youtube.com/watch?v=ZFH3h7FxqIE,154.2,Ajahn
 happ อย่าผิดศีลแค่นั่นแหละ Just  Don't ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,160.2,Ajahn
 Break  The  pres อดทนทำในรูปแบบทุกวัน,https://www.youtube.com/watch?v=ZFH3h7FxqIE,162.96,Ajahn
 be  patient  and  Practice  formally ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,166.52,Ajahn
 Everyday การปญาใชสังของจิตมาก Wisdom ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,170.32,Ajahn
 Practice  requ  Energy ต้องไม่ไม่ล่า,https://www.youtube.com/watch?v=ZFH3h7FxqIE,175.72,Ajahn
การทำในรูปแบบ You  can  ign  PR มีโอกาส,https://www.youtube.com/watch?v=ZFH3h7FxqIE,178.92,Ajahn
ก็ทำมีโอกาสก็ทำ Practice  you  have ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,182.64,Ajahn
 Chan วันแหละ do  it  all  day  you ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,185.32,Ajahn
 have ทำช่วงว่าตเว you  Practice  to ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,188.12,Ajahn
 Charge  your ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,192.76,Ajahn
 Battery ที่ขณะเยังควบคุม,https://www.youtube.com/watch?v=ZFH3h7FxqIE,194.08,Ajahn
จิต Control  you  feel  it มีจุดที่ควรส,https://www.youtube.com/watch?v=ZFH3h7FxqIE,197.64,Ajahn
 Point  to  Notice  is  that ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,203.2,Ajahn
อย่า,https://www.youtube.com/watch?v=ZFH3h7FxqIE,210.28,Ajahn
พยายามรู้สึกตัวตลอดเวลา The  Time ตอนเ,https://www.youtube.com/watch?v=ZFH3h7FxqIE,212.6,Ajahn
